street_key,avg_price,transaction_count,std_dev,min_price,max_price,district,district_median,undervalued
ABBERLEY WOOD | CB22 5EZ,353333.3333333333,3,59651.76722724427,285000,395000,CB22,496000.0,True
ABBEVILLE ROAD | SW4 9BH,403750.0,4,73555.53457535787,347500,510000,SW4,623500.0,True
ABBEY DRIVE | TN38 8BD,234166.66666666666,3,76539.7500213669,187500,322500,TN38,303913.93333333335,True
ABBEY FOREGATE | SY2 6BY,118178.57142857143,7,20749.856568637955,95250,153000,SY2,285500.0,True
ABBEY RISE | PL19 9FD,152375.0,4,41724.04382767007,117000,212500,PL19,230000.0,True
ABBEY ROAD | LL20 8TJ,146750.0,4,39101.36400007891,95000,190000,LL20,210158.3333333333,True
ABBEY ROAD | LL28 4PU,149166.66666666666,3,48883.36458687488,95000,190000,LL28,197316.66666666666,True
ABBEY ROAD | SK10 3PD,107066.66666666667,3,7558.163357147908,99950,115000,SK10,289568.75,True
ABBEY ROAD | SW19 2LZ,381000.0,3,124951.99078045935,240000,478000,SW19,717550.0,True
ABBEY ROAD | TQ2 5NB,98833.33333333333,6,31625.41172327511,65000,145000,TQ2,223900.0,True
ABBEY SLIP | TR18 2LS,208333.33333333334,3,23629.07813126304,190000,235000,TR18,291937.5,True
ABBEYDALE ROAD SOUTH | S7 2PZ,94583.33333333333,6,31480.814263081993,50000,145000,S7,244500.0,True
ABBEYDALE ROAD | S7 2BN,159312.5,16,29360.90087173757,96500,205000,S7,244500.0,True
ABBOTS CLOSE | NN15 6GZ,208000.0,3,2645.7513110645905,205000,210000,NN15,300750.0,True
ABBOTS COURT | M33 2DB,176750.0,4,10436.314802968847,170000,192000,M33,317333.3333333333,True
ABBOTS PARK | AL1 1TW,282375.0,4,24547.148510570427,247500,305000,AL1,498625.0,True
ABBOTS WAY | CH48 6EH,201166.66666666666,3,22673.405860905263,175000,215000,CH48,262458.3333333334,True
ABBOTSBURY ROAD | DT4 0AD,154000.0,3,67290.41536504289,102000,230000,DT4,252250.0,True
ABBOTSBURY ROAD | DT4 0AE,106250.0,4,4787.13553878169,100000,110000,DT4,252250.0,True
ABBOTSBURY ROAD | DT4 0AQ,196250.0,4,94989.03445486045,130000,335000,DT4,252250.0,True
